gene,log2FC,p_value
B4GALT7,1.5041772136424603,4.912159101950759e-13
SH2D2A,0.4272519083120553,0.20269742819578757
VRK2,1.0150768099285787,9.04672998238546e-05
TNFRSF1B,-0.02844151368166077,0.8902186456304091
VEZT,0.7550292387374705,1.7761099770797674e-05
POU2F2,-0.07510764184374973,0.7613457371598327
BRD9,1.2915330966446437,8.644152120623091e-10
SNX1,0.6028617673437706,1.1438497422047107e-06
TBPL1,0.5525823105672981,9.818626359523274e-05
ARNTL2,1.4741060472796723,0.00041083612033084775
BCLAF1,0.5239300506035088,4.133695945635747e-05
SLC39A9,0.7116269913935471,7.789283394449077e-07
ANK1,1.0529932651253253,0.10270370335693071
IBSP,6.348346386787547,0.000424483995491337
TFB1M,0.3807726246754763,0.015188318771279692
RABEP1,0.28382782822410124,0.10256970393159903
HMGB3,1.209368767586498,1.3663151327407782e-06
NUP160,1.0174751042040153,5.645418362293994e-07
BAK1,1.726235756211448,9.727374116557622e-09
MUSK,1.7025235732735848,0.20882265350831727
IKZF2,0.3807681596520131,0.2021245053993818
GRN,1.3000369394694435,1.4521012526518113e-05
FAM13B,0.8205466052705754,1.8836930788526506e-05
ARHGAP31,0.6206157194953923,0.021972731789627022
CENPQ,1.72824535916675,4.2047974666097813e-07
SARS1,0.8941610285692022,1.0679228811552682e-06
RANBP3,0.8913289525057293,4.539263477195471e-09
ARID4A,-0.059564253277365954,0.6868375741927506
EIPR1,1.2269816173595962,1.1948113400794309e-10
PNPLA6,0.9924698172736426,4.410839822749604e-11
IFT88,0.3892488045567148,0.0029912422691089294
ALG1,1.2350152443200244,8.644811939875216e-15
ZCCHC8,0.6726555141273521,9.54132849439973e-06
ABCF2,1.443096068325157,2.0790199474869805e-14
CHPF2,1.1946033382869046,2.5835384126863383e-08
LRRC7,0.3750361659162213,0.32084069345816346
FUT8,0.45106182922706295,0.10376585154964522
UBA6,0.777430446666256,4.588765882873089e-06
GAB2,1.417706949933592,1.967154640143552e-06
ATP6V0A1,1.156080537004788,2.4838419546032088e-12
